State,District,Population
JAMMU & KASHMIR,KUPWARA,870354
JAMMU & KASHMIR,BADGAM,753745
JAMMU & KASHMIR,LEH(LADAKH),133487
JAMMU & KASHMIR,KARGIL,140802
JAMMU & KASHMIR,PUNCH,476835
JAMMU & KASHMIR,RAJOURI,642415
JAMMU & KASHMIR,KATHUA,616435
JAMMU & KASHMIR,BARAMULA,1008039
JAMMU & KASHMIR,BANDIPORE,392232
JAMMU & KASHMIR,SRINAGAR,1236829
JAMMU & KASHMIR,GANDERBAL,297446
JAMMU & KASHMIR,PULWAMA,560440
JAMMU & KASHMIR,SHUPIYAN,266215
JAMMU & KASHMIR,ANANTNAG,1078692
JAMMU & KASHMIR,KULGAM,424483
JAMMU & KASHMIR,DODA,409936
JAMMU & KASHMIR,RAMBAN,283713
JAMMU & KASHMIR,KISHTWAR,230696
JAMMU & KASHMIR,UDHAMPUR,554985
JAMMU & KASHMIR,REASI,314667
JAMMU & KASHMIR,JAMMU,1529958
JAMMU & KASHMIR,SAMBA,318898
HIMACHAL PRADESH,CHAMBA,519080
HIMACHAL PRADESH,KANGRA,1510075
HIMACHAL PRADESH,LAHUL & SPITI,31564
HIMACHAL PRADESH,KULLU,437903
HIMACHAL PRADESH,MANDI,999777
HIMACHAL PRADESH,HAMIRPUR,454768
HIMACHAL PRADESH,UNA,521173
HIMACHAL PRADESH,BILASPUR,381956
HIMACHAL PRADESH,SOLAN,580320
HIMACHAL PRADESH,SIRMAUR,529855
HIMACHAL PRADESH,SHIMLA,814010
HIMACHAL PRADESH,KINNAUR,84121
PUNJAB,GURDASPUR,2298323
PUNJAB,KAPURTHALA,815168
PUNJAB,JALANDHAR,2193590
PUNJAB,HOSHIARPUR,1586625
PUNJAB,SHAHID BHAGAT SINGH NAGAR,612310
PUNJAB,FATEHGARH SAHIB,600163
PUNJAB,LUDHIANA,3498739
PUNJAB,MOGA,995746
PUNJAB,FIROZPUR,2029074
PUNJAB,MUKTSAR,901896
PUNJAB,FARIDKOT,617508
PUNJAB,BATHINDA,1388525
PUNJAB,MANSA,769751
PUNJAB,PATIALA,1895686
PUNJAB,AMRITSAR,2490656
PUNJAB,TARN TARAN,1119627
PUNJAB,RUPNAGAR,684627
PUNJAB,SAHIBZADA AJIT SINGH NAGAR,994628
PUNJAB,SANGRUR,1655169
PUNJAB,BARNALA,595527
CHANDIGARH,CHANDIGARH,1055450
UTTARAKHAND,UTTARKASHI,330086
UTTARAKHAND,CHAMOLI,391605
UTTARAKHAND,RUDRAPRAYAG,242285
UTTARAKHAND,TEHRI GARHWAL,618931
UTTARAKHAND,DEHRADUN,1696694
UTTARAKHAND,GARHWAL,687271
UTTARAKHAND,PITHORAGARH,483439
UTTARAKHAND,BAGESHWAR,259898
UTTARAKHAND,ALMORA,622506
UTTARAKHAND,CHAMPAWAT,259648
UTTARAKHAND,NAINITAL,954605
UTTARAKHAND,UDHAM SINGH NAGAR,1648902
UTTARAKHAND,HARDWAR,1890422
HARYANA,PANCHKULA,561293
HARYANA,AMBALA,1128350
HARYANA,YAMUNANAGAR,1214205
HARYANA,KURUKSHETRA,964655
HARYANA,KAITHAL,1074304
HARYANA,KARNAL,1505324
HARYANA,PANIPAT,1205437
HARYANA,SONIPAT,1450001
HARYANA,JIND,1334152
HARYANA,FATEHABAD,942011
HARYANA,SIRSA,1295189
HARYANA,HISAR,1743931
HARYANA,BHIWANI,1634445
HARYANA,ROHTAK,1061204
HARYANA,JHAJJAR,958405
HARYANA,MAHENDRAGARH,922088
HARYANA,REWARI,900332
HARYANA,GURGAON,1514432
HARYANA,MEWAT,1089263
HARYANA,FARIDABAD,1809733
HARYANA,PALWAL,1042708
NCT OF DELHI,NORTH WEST,3656539
NCT OF DELHI,NORTH,887978
NCT OF DELHI,NORTH EAST,2241624
NCT OF DELHI,EAST,1709346
NCT OF DELHI,NEW DELHI,142004
NCT OF DELHI,CENTRAL,582320
NCT OF DELHI,WEST,2543243
NCT OF DELHI,SOUTH WEST,2292958
NCT OF DELHI,SOUTH,2731929
RAJASTHAN,GANGANAGAR,1969168
RAJASTHAN,HANUMANGARH,1774692
RAJASTHAN,BIKANER,2363937
RAJASTHAN,CHURU,2039547
RAJASTHAN,JHUNJHUNUN,2137045
RAJASTHAN,ALWAR,3674179
RAJASTHAN,BHARATPUR,2548462
RAJASTHAN,DHAULPUR,1206516
RAJASTHAN,KARAULI,1458248
RAJASTHAN,SAWAI MADHOPUR,1335551
RAJASTHAN,DAUSA,1634409
RAJASTHAN,JAIPUR,6626178
RAJASTHAN,SIKAR,2677333
RAJASTHAN,NAGAUR,3307743
RAJASTHAN,JODHPUR,3687165
RAJASTHAN,JAISALMER,669919
RAJASTHAN,BARMER,2603751
RAJASTHAN,JALOR,1828730
RAJASTHAN,SIROHI,1036346
RAJASTHAN,PALI,2037573
RAJASTHAN,AJMER,2583052
RAJASTHAN,TONK,1421326
RAJASTHAN,BUNDI,1110906
RAJASTHAN,BHILWARA,2408523
RAJASTHAN,RAJSAMAND,1156597
RAJASTHAN,DUNGARPUR,1388552
RAJASTHAN,BANSWARA,1797485
RAJASTHAN,CHITTAURGARH,1544338
RAJASTHAN,KOTA,1951014
RAJASTHAN,BARAN,1222755
RAJASTHAN,JHALAWAR,1411129
RAJASTHAN,UDAIPUR,3068420
RAJASTHAN,PRATAPGARH,867848
UTTAR PRADESH,SAHARANPUR,3466382
UTTAR PRADESH,MUZAFFARNAGAR,4143512
UTTAR PRADESH,BIJNOR,3682713
UTTAR PRADESH,MORADABAD,4772006
UTTAR PRADESH,RAMPUR,2335819
UTTAR PRADESH,JYOTIBA PHULE NAGAR,1840221
UTTAR PRADESH,MEERUT,3443689
UTTAR PRADESH,BAGHPAT,1303048
UTTAR PRADESH,GHAZIABAD,4681645
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,1648115
UTTAR PRADESH,BULANDSHAHR,3499171
UTTAR PRADESH,ALIGARH,3673889
UTTAR PRADESH,MAHAMAYA NAGAR,1564708
UTTAR PRADESH,MATHURA,2547184
UTTAR PRADESH,AGRA,4418797
UTTAR PRADESH,FIROZABAD,2498156
UTTAR PRADESH,MAINPURI,1868529
UTTAR PRADESH,BUDAUN,3681896
UTTAR PRADESH,BAREILLY,4448359
UTTAR PRADESH,PILIBHIT,2031007
UTTAR PRADESH,SHAHJAHANPUR,3006538
UTTAR PRADESH,KHERI,4021243
UTTAR PRADESH,SITAPUR,4483992
UTTAR PRADESH,HARDOI,4092845
UTTAR PRADESH,UNNAO,3108367
UTTAR PRADESH,LUCKNOW,4589838
UTTAR PRADESH,RAE BARELI,3405559
UTTAR PRADESH,FARRUKHABAD,1885204
UTTAR PRADESH,KANNAUJ,1656616
UTTAR PRADESH,ETAWAH,1581810
UTTAR PRADESH,AURAIYA,1379545
UTTAR PRADESH,KANPUR DEHAT,1796184
UTTAR PRADESH,KANPUR NAGAR,4581268
UTTAR PRADESH,JALAUN,1689974
UTTAR PRADESH,JHANSI,1998603
UTTAR PRADESH,LALITPUR,1221592
UTTAR PRADESH,HAMIRPUR,1104285
UTTAR PRADESH,MAHOBA,875958
UTTAR PRADESH,BANDA,1799410
UTTAR PRADESH,CHITRAKOOT,991730
UTTAR PRADESH,FATEHPUR,2632733
UTTAR PRADESH,PRATAPGARH,3209141
UTTAR PRADESH,KAUSHAMBI,1599596
UTTAR PRADESH,ALLAHABAD,5954391
UTTAR PRADESH,BARA BANKI,3260699
UTTAR PRADESH,FAIZABAD,2470996
UTTAR PRADESH,AMBEDKAR NAGAR,2397888
UTTAR PRADESH,SULTANPUR,3797117
UTTAR PRADESH,BAHRAICH,3487731
UTTAR PRADESH,SHRAWASTI,1117361
UTTAR PRADESH,BALRAMPUR,2148665
UTTAR PRADESH,GONDA,3433919
UTTAR PRADESH,SIDDHARTHNAGAR,2559297
UTTAR PRADESH,BASTI,2464464
UTTAR PRADESH,SANT KABIR NAGAR,1715183
UTTAR PRADESH,MAHRAJGANJ,2684703
UTTAR PRADESH,GORAKHPUR,4440895
UTTAR PRADESH,KUSHINAGAR,3564544
UTTAR PRADESH,DEORIA,3100946
UTTAR PRADESH,AZAMGARH,4613913
UTTAR PRADESH,MAU,2205968
UTTAR PRADESH,BALLIA,3239774
UTTAR PRADESH,JAUNPUR,4494204
UTTAR PRADESH,GHAZIPUR,3620268
UTTAR PRADESH,CHANDAULI,1952756
