State,District,Population,Banking_Outlets,Population_per_Bank
JAMMU & KASHMIR,KUPWARA,870354,11,79123.09090909091
JAMMU & KASHMIR,BADGAM,753745,16,47109.0625
JAMMU & KASHMIR,LEH(LADAKH),133487,22,6067.590909090909
JAMMU & KASHMIR,KARGIL,140802,10,14080.2
JAMMU & KASHMIR,PUNCH,476835,6,79472.5
JAMMU & KASHMIR,RAJOURI,642415,17,37789.117647058825
JAMMU & KASHMIR,KATHUA,616435,37,16660.405405405407
JAMMU & KASHMIR,BARAMULA,1008039,19,53054.68421052631
JAMMU & KASHMIR,BANDIPORE,392232,5,78446.4
JAMMU & KASHMIR,SRINAGAR,1236829,58,21324.637931034482
JAMMU & KASHMIR,GANDERBAL,297446,6,49574.333333333336
JAMMU & KASHMIR,PULWAMA,560440,9,62271.11111111111
JAMMU & KASHMIR,SHUPIYAN,266215,5,53243.0
JAMMU & KASHMIR,ANANTNAG,1078692,19,56773.26315789474
JAMMU & KASHMIR,KULGAM,424483,5,84896.6
JAMMU & KASHMIR,DODA,409936,13,31533.53846153846
JAMMU & KASHMIR,RAMBAN,283713,8,35464.125
JAMMU & KASHMIR,KISHTWAR,230696,5,46139.2
JAMMU & KASHMIR,UDHAMPUR,554985,30,18499.5
JAMMU & KASHMIR,REASI,314667,21,14984.142857142857
JAMMU & KASHMIR,JAMMU,1529958,174,8792.862068965518
JAMMU & KASHMIR,SAMBA,318898,36,8858.277777777777
HIMACHAL PRADESH,CHAMBA,519080,48,10814.166666666666
HIMACHAL PRADESH,KANGRA,1510075,219,6895.319634703196
HIMACHAL PRADESH,LAHUL & SPITI,31564,15,2104.266666666667
HIMACHAL PRADESH,KULLU,437903,68,6439.75
HIMACHAL PRADESH,MANDI,999777,119,8401.487394957983
HIMACHAL PRADESH,HAMIRPUR,454768,94,4837.95744680851
HIMACHAL PRADESH,UNA,521173,90,5790.811111111111
HIMACHAL PRADESH,BILASPUR,381956,70,5456.5142857142855
HIMACHAL PRADESH,SOLAN,580320,158,3672.9113924050635
HIMACHAL PRADESH,SIRMAUR,529855,87,6090.287356321839
HIMACHAL PRADESH,SHIMLA,814010,206,3951.5048543689322
HIMACHAL PRADESH,KINNAUR,84121,30,2804.0333333333333
PUNJAB,GURDASPUR,2298323,180,12768.461111111112
PUNJAB,KAPURTHALA,815168,146,5583.342465753424
PUNJAB,JALANDHAR,2193590,464,4727.564655172414
PUNJAB,HOSHIARPUR,1586625,232,6838.900862068966
PUNJAB,SHAHID BHAGAT SINGH NAGAR,612310,112,5467.053571428572
PUNJAB,FATEHGARH SAHIB,600163,91,6595.197802197802
PUNJAB,LUDHIANA,3498739,563,6214.4564831261105
PUNJAB,MOGA,995746,138,7215.550724637681
PUNJAB,FIROZPUR,2029074,102,19892.882352941175
PUNJAB,MUKTSAR,901896,103,8756.271844660194
PUNJAB,FARIDKOT,617508,82,7530.585365853659
PUNJAB,BATHINDA,1388525,210,6612.023809523809
PUNJAB,MANSA,769751,75,10263.346666666666
PUNJAB,PATIALA,1895686,266,7126.639097744361
PUNJAB,AMRITSAR,2490656,327,7616.68501529052
PUNJAB,TARN TARAN,1119627,99,11309.363636363636
PUNJAB,RUPNAGAR,684627,95,7206.6
PUNJAB,SAHIBZADA AJIT SINGH NAGAR,994628,260,3825.492307692308
PUNJAB,SANGRUR,1655169,143,11574.608391608392
PUNJAB,BARNALA,595527,74,8047.6621621621625
CHANDIGARH,CHANDIGARH,1055450,229,4608.951965065502
UTTARAKHAND,UTTARKASHI,330086,42,7859.190476190476
UTTARAKHAND,CHAMOLI,391605,57,6870.263157894737
UTTARAKHAND,RUDRAPRAYAG,242285,33,7341.969696969697
UTTARAKHAND,TEHRI GARHWAL,618931,80,7736.6375
UTTARAKHAND,DEHRADUN,1696694,411,4128.209245742092
UTTARAKHAND,GARHWAL,687271,111,6191.630630630631
UTTARAKHAND,PITHORAGARH,483439,55,8789.8
UTTARAKHAND,BAGESHWAR,259898,28,9282.07142857143
UTTARAKHAND,ALMORA,622506,83,7500.0722891566265
UTTARAKHAND,CHAMPAWAT,259648,35,7418.5142857142855
UTTARAKHAND,NAINITAL,954605,143,6675.55944055944
UTTARAKHAND,UDHAM SINGH NAGAR,1648902,192,8588.03125
UTTARAKHAND,HARDWAR,1890422,194,9744.443298969072
HARYANA,PANCHKULA,561293,142,3952.7676056338028
HARYANA,AMBALA,1128350,152,7423.355263157895
HARYANA,YAMUNANAGAR,1214205,133,9129.36090225564
HARYANA,KURUKSHETRA,964655,126,7655.992063492064
HARYANA,KAITHAL,1074304,88,12208.0
HARYANA,KARNAL,1505324,204,7379.0392156862745
HARYANA,PANIPAT,1205437,148,8144.844594594595
HARYANA,SONIPAT,1450001,191,7591.628272251309
HARYANA,JIND,1334152,116,11501.310344827587
HARYANA,FATEHABAD,942011,87,10827.71264367816
HARYANA,SIRSA,1295189,124,10445.072580645161
HARYANA,HISAR,1743931,129,13518.84496124031
HARYANA,BHIWANI,1634445,71,23020.352112676057
HARYANA,ROHTAK,1061204,132,8039.424242424242
HARYANA,JHAJJAR,958405,87,11016.149425287356
HARYANA,MAHENDRAGARH,922088,71,12987.154929577464
HARYANA,REWARI,900332,89,10116.08988764045
HARYANA,GURGAON,1514432,357,4242.106442577031
HARYANA,MEWAT,1089263,40,27231.575
HARYANA,FARIDABAD,1809733,197,9186.46192893401
HARYANA,PALWAL,1042708,56,18619.785714285714
NCT OF DELHI,NORTH WEST,3656539,207,17664.43961352657
NCT OF DELHI,NORTH,887978,338,2627.153846153846
NCT OF DELHI,NORTH EAST,2241624,40,56040.6
NCT OF DELHI,EAST,1709346,111,15399.513513513513
NCT OF DELHI,NEW DELHI,142004,210,676.2095238095238
NCT OF DELHI,CENTRAL,582320,221,2634.9321266968327
NCT OF DELHI,WEST,2543243,278,9148.356115107914
NCT OF DELHI,SOUTH WEST,2292958,209,10971.09090909091
NCT OF DELHI,SOUTH,2731929,178,15347.91573033708
RAJASTHAN,GANGANAGAR,1969168,210,9376.990476190476
RAJASTHAN,HANUMANGARH,1774692,135,13145.866666666667
RAJASTHAN,BIKANER,2363937,202,11702.658415841584
RAJASTHAN,CHURU,2039547,101,20193.534653465347
RAJASTHAN,JHUNJHUNUN,2137045,122,17516.762295081968
RAJASTHAN,ALWAR,3674179,115,31949.38260869565
RAJASTHAN,BHARATPUR,2548462,77,33096.90909090909
RAJASTHAN,DHAULPUR,1206516,41,29427.219512195123
RAJASTHAN,KARAULI,1458248,71,20538.704225352114
RAJASTHAN,SAWAI MADHOPUR,1335551,103,12966.514563106795
RAJASTHAN,DAUSA,1634409,92,17765.315217391304
RAJASTHAN,JAIPUR,6626178,682,9715.803519061583
RAJASTHAN,SIKAR,2677333,140,19123.807142857142
RAJASTHAN,NAGAUR,3307743,77,42957.7012987013
RAJASTHAN,JODHPUR,3687165,268,13758.078358208955
RAJASTHAN,JAISALMER,669919,44,15225.431818181818
RAJASTHAN,BARMER,2603751,50,52075.02
RAJASTHAN,JALOR,1828730,60,30478.833333333332
RAJASTHAN,SIROHI,1036346,56,18506.178571428572
RAJASTHAN,PALI,2037573,76,26810.17105263158
RAJASTHAN,AJMER,2583052,184,14038.326086956522
RAJASTHAN,TONK,1421326,94,15120.489361702128
RAJASTHAN,BUNDI,1110906,63,17633.428571428572
RAJASTHAN,BHILWARA,2408523,126,19115.261904761905
RAJASTHAN,RAJSAMAND,1156597,65,17793.8
RAJASTHAN,DUNGARPUR,1388552,63,22040.507936507936
RAJASTHAN,BANSWARA,1797485,69,26050.507246376812
RAJASTHAN,CHITTAURGARH,1544338,94,16429.127659574468
RAJASTHAN,KOTA,1951014,162,12043.296296296296
RAJASTHAN,BARAN,1222755,61,20045.16393442623
RAJASTHAN,JHALAWAR,1411129,65,21709.676923076924
RAJASTHAN,UDAIPUR,3068420,189,16235.026455026455
RAJASTHAN,PRATAPGARH,867848,34,25524.941176470587
UTTAR PRADESH,SAHARANPUR,3466382,223,15544.313901345291
UTTAR PRADESH,MUZAFFARNAGAR,4143512,199,20821.668341708544
UTTAR PRADESH,BIJNOR,3682713,164,22455.567073170732
UTTAR PRADESH,MORADABAD,4772006,140,34085.75714285715
UTTAR PRADESH,RAMPUR,2335819,100,23358.19
UTTAR PRADESH,JYOTIBA PHULE NAGAR,1840221,65,28311.092307692306
UTTAR PRADESH,MEERUT,3443689,343,10039.909620991253
UTTAR PRADESH,BAGHPAT,1303048,109,11954.56880733945
UTTAR PRADESH,GHAZIABAD,4681645,323,14494.256965944272
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,1648115,324,5086.774691358025
UTTAR PRADESH,BULANDSHAHR,3499171,190,18416.68947368421
UTTAR PRADESH,ALIGARH,3673889,187,19646.46524064171
UTTAR PRADESH,MAHAMAYA NAGAR,1564708,79,19806.430379746835
UTTAR PRADESH,MATHURA,2547184,226,11270.725663716814
UTTAR PRADESH,AGRA,4418797,365,12106.29315068493
UTTAR PRADESH,FIROZABAD,2498156,107,23347.252336448597
UTTAR PRADESH,MAINPURI,1868529,68,27478.367647058825
UTTAR PRADESH,BUDAUN,3681896,96,38353.083333333336
UTTAR PRADESH,BAREILLY,4448359,256,17376.40234375
UTTAR PRADESH,PILIBHIT,2031007,104,19528.91346153846
UTTAR PRADESH,SHAHJAHANPUR,3006538,154,19522.974025974025
UTTAR PRADESH,KHERI,4021243,168,23935.970238095237
UTTAR PRADESH,SITAPUR,4483992,136,32970.529411764706
